question,answer
How can I cancel my order this weekend.,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How can I cancel my order this weekend right now?,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How can I cancel my order tomorrow?,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How can I cancel my order tomorrow please?,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How can I cancel my order tomorrow — thanks.,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How can I cancel my order tomorrow.,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How can I cancel my order tomorrow right now?,"To cancel, please call 0300-1234567 within 5 minutes of placing your order."
How long does delivery take?,"Yes, we offer home delivery in the local area."
How long does delivery take please?,"Yes, we offer home delivery in the local area."
How long does delivery take — thanks.,"Yes, we offer home delivery in the local area."
How long does delivery take.,"Yes, we offer home delivery in the local area."
How long does delivery take right now?,"Yes, we offer home delivery in the local area."
How long does delivery take today?,"Yes, we offer home delivery in the local area."
How long does delivery take today please?,"Yes, we offer home delivery in the local area."
How long does delivery take today — thanks.,"Yes, we offer home delivery in the local area."
How long does delivery take today.,"Yes, we offer home delivery in the local area."
How long does delivery take today right now?,"Yes, we offer home delivery in the local area."
How long does delivery take tonight?,"Yes, we offer home delivery in the local area."
How long does delivery take tonight please?,"Yes, we offer home delivery in the local area."
How long does delivery take tonight — thanks.,"Yes, we offer home delivery in the local area."
How long does delivery take tonight.,"Yes, we offer home delivery in the local area."
How long does delivery take tonight right now?,"Yes, we offer home delivery in the local area."
How long does delivery take this weekend?,"Yes, we offer home delivery in the local area."
How long does delivery take this weekend please?,"Yes, we offer home delivery in the local area."
How long does delivery take this weekend — thanks.,"Yes, we offer home delivery in the local area."
How long does delivery take this weekend.,"Yes, we offer home delivery in the local area."
How long does delivery take this weekend right now?,"Yes, we offer home delivery in the local area."
How long does delivery take tomorrow?,"Yes, we offer home delivery in the local area."
How long does delivery take tomorrow please?,"Yes, we offer home delivery in the local area."
How long does delivery take tomorrow — thanks.,"Yes, we offer home delivery in the local area."
How long does delivery take tomorrow.,"Yes, we offer home delivery in the local area."
How long does delivery take tomorrow right now?,"Yes, we offer home delivery in the local area."
What pizzas do you have?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have please?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have — thanks.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have right now?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have today?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have today please?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have today — thanks.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have today.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have today right now?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tonight?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tonight please?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tonight — thanks.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tonight.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tonight right now?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have this weekend?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have this weekend please?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have this weekend — thanks.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have this weekend.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have this weekend right now?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tomorrow?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tomorrow please?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tomorrow — thanks.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tomorrow.,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
What pizzas do you have tomorrow right now?,"We have Chicken Tikka, Fajita, and Cheese pizza varieties."
Do you have vegetarian options?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options please?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options — thanks.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options right now?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options today?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options today please?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options today — thanks.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options today.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options today right now?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tonight?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tonight please?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tonight — thanks.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tonight.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tonight right now?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options this weekend?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options this weekend please?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options this weekend — thanks.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options this weekend.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options this weekend right now?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tomorrow?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tomorrow please?,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tomorrow — thanks.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tomorrow.,Yes — vegetarian and vegan options are available.
Do you have vegetarian options tomorrow right now?,Yes — vegetarian and vegan options are available.
Is there a kids menu?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu please?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu — thanks.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu right now?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu today?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu today please?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu today — thanks.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu today.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu today right now?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tonight?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tonight please?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tonight — thanks.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tonight.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tonight right now?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu this weekend?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu this weekend please?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu this weekend — thanks.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu this weekend.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu this weekend right now?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tomorrow?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tomorrow please?,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tomorrow — thanks.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tomorrow.,"Yes, we have a kids menu with smaller portions."
Is there a kids menu tomorrow right now?,"Yes, we have a kids menu with smaller portions."
Do you take reservations?,"Yes, you can reserve online or call us to book a table."
Do you take reservations please?,"Yes, you can reserve online or call us to book a table."
Do you take reservations — thanks.,"Yes, you can reserve online or call us to book a table."
Do you take reservations.,"Yes, you can reserve online or call us to book a table."
Do you take reservations right now?,"Yes, you can reserve online or call us to book a table."
Do you take reservations today?,"Yes, you can reserve online or call us to book a table."
Do you take reservations today please?,"Yes, you can reserve online or call us to book a table."
Do you take reservations today — thanks.,"Yes, you can reserve online or call us to book a table."
Do you take reservations today.,"Yes, you can reserve online or call us to book a table."
Do you take reservations today right now?,"Yes, you can reserve online or call us to book a table."
Do you take reservations tonight?,"Yes, you can reserve online or call us to book a table."
Do you take reservations tonight please?,"Yes, you can reserve online or call us to book a table."
Do you take reservations tonight — thanks.,"Yes, you can reserve online or call us to book a table."
Do you take reservations tonight.,"Yes, you can reserve online or call us to book a table."
Do you take reservations tonight right now?,"Yes, you can reserve online or call us to book a table."
Do you take reservations this weekend?,"Yes, you can reserve online or call us to book a table."
Do you take reservations this weekend please?,"Yes, you can reserve online or call us to book a table."
Do you take reservations this weekend — thanks.,"Yes, you can reserve online or call us to book a table."
Do you take reservations this weekend.,"Yes, you can reserve online or call us to book a table."
Do you take reservations this weekend right now?,"Yes, you can reserve online or call us to book a table."
Do you take reservations tomorrow?,"Yes, you can reserve online or call us to book a table."
Do you take reservations tomorrow please?,"Yes, you can reserve online or call us to book a table."
Do you take reservations tomorrow — thanks.,"Yes, you can reserve online or call us to book a table."
Do you take reservations tomorrow.,"Yes, you can reserve online or call us to book a table."
Do you take reservations tomorrow right now?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table please?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table — thanks.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table right now?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table today?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table today please?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table today — thanks.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table today.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table today right now?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tonight?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tonight please?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tonight — thanks.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tonight.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tonight right now?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table this weekend?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table this weekend please?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table this weekend — thanks.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table this weekend.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table this weekend right now?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tomorrow?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tomorrow please?,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tomorrow — thanks.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tomorrow.,"Yes, you can reserve online or call us to book a table."
How do I reserve a table tomorrow right now?,"Yes, you can reserve online or call us to book a table."
Do you have gluten-free options?,We offer gluten-free options on request.
Do you have gluten-free options please?,We offer gluten-free options on request.
Do you have gluten-free options — thanks.,We offer gluten-free options on request.
Do you have gluten-free options.,We offer gluten-free options on request.
Do you have gluten-free options right now?,We offer gluten-free options on request.
Do you have gluten-free options today?,We offer gluten-free options on request.
Do you have gluten-free options today please?,We offer gluten-free options on request.
Do you have gluten-free options today — thanks.,We offer gluten-free options on request.
Do you have gluten-free options today.,We offer gluten-free options on request.
Do you have gluten-free options today right now?,We offer gluten-free options on request.
Do you have gluten-free options tonight?,We offer gluten-free options on request.
Do you have gluten-free options tonight please?,We offer gluten-free options on request.
Do you have gluten-free options tonight — thanks.,We offer gluten-free options on request.
Do you have gluten-free options tonight.,We offer gluten-free options on request.
Do you have gluten-free options tonight right now?,We offer gluten-free options on request.
Do you have gluten-free options this weekend?,We offer gluten-free options on request.
Do you have gluten-free options this weekend please?,We offer gluten-free options on request.
Do you have gluten-free options this weekend — thanks.,We offer gluten-free options on request.
Do you have gluten-free options this weekend.,We offer gluten-free options on request.
Do you have gluten-free options this weekend right now?,We offer gluten-free options on request.
Do you have gluten-free options tomorrow?,We offer gluten-free options on request.
Do you have gluten-free options tomorrow please?,We offer gluten-free options on request.
Do you have gluten-free options tomorrow — thanks.,We offer gluten-free options on request.
Do you have gluten-free options tomorrow.,We offer gluten-free options on request.
Do you have gluten-free options tomorrow right now?,We offer gluten-free options on request.
Are you halal?,Yes — all food is prepared halal.
Are you halal please?,Yes — all food is prepared halal.
Are you halal — thanks.,Yes — all food is prepared halal.
Are you halal.,Yes — all food is prepared halal.
Are you halal right now?,Yes — all food is prepared halal.
Are you halal today?,Yes — all food is prepared halal.
Are you halal today please?,Yes — all food is prepared halal.
Are you halal today — thanks.,Yes — all food is prepared halal.
Are you halal today.,Yes — all food is prepared halal.
Are you halal today right now?,Yes — all food is prepared halal.
Are you halal tonight?,Yes — all food is prepared halal.
Are you halal tonight please?,Yes — all food is prepared halal.
Are you halal tonight — thanks.,Yes — all food is prepared halal.
Are you halal tonight.,Yes — all food is prepared halal.
Are you halal tonight right now?,Yes — all food is prepared halal.
Are you halal this weekend?,Yes — all food is prepared halal.
Are you halal this weekend please?,Yes — all food is prepared halal.
Are you halal this weekend — thanks.,Yes — all food is prepared halal.
Are you halal this weekend.,Yes — all food is prepared halal.
Are you halal this weekend right now?,Yes — all food is prepared halal.
Are you halal tomorrow?,Yes — all food is prepared halal.
Are you halal tomorrow please?,Yes — all food is prepared halal.
Are you halal tomorrow — thanks.,Yes — all food is prepared halal.
Are you halal tomorrow.,Yes — all food is prepared halal.
Are you halal tomorrow right now?,Yes — all food is prepared halal.
What payment methods do you accept?,"We accept cash, card, and online wallets."
What payment methods do you accept please?,"We accept cash, card, and online wallets."
What payment methods do you accept — thanks.,"We accept cash, card, and online wallets."
What payment methods do you accept.,"We accept cash, card, and online wallets."
What payment methods do you accept right now?,"We accept cash, card, and online wallets."
What payment methods do you accept today?,"We accept cash, card, and online wallets."
What payment methods do you accept today please?,"We accept cash, card, and online wallets."
What payment methods do you accept today — thanks.,"We accept cash, card, and online wallets."
What payment methods do you accept today.,"We accept cash, card, and online wallets."
What payment methods do you accept today right now?,"We accept cash, card, and online wallets."
What payment methods do you accept tonight?,"We accept cash, card, and online wallets."
What payment methods do you accept tonight please?,"We accept cash, card, and online wallets."
What payment methods do you accept tonight — thanks.,"We accept cash, card, and online wallets."
What payment methods do you accept tonight.,"We accept cash, card, and online wallets."
What payment methods do you accept tonight right now?,"We accept cash, card, and online wallets."
What payment methods do you accept this weekend?,"We accept cash, card, and online wallets."
What payment methods do you accept this weekend please?,"We accept cash, card, and online wallets."
What payment methods do you accept this weekend — thanks.,"We accept cash, card, and online wallets."
What payment methods do you accept this weekend.,"We accept cash, card, and online wallets."
What payment methods do you accept this weekend right now?,"We accept cash, card, and online wallets."
What payment methods do you accept tomorrow?,"We accept cash, card, and online wallets."
What payment methods do you accept tomorrow please?,"We accept cash, card, and online wallets."
What payment methods do you accept tomorrow — thanks.,"We accept cash, card, and online wallets."
What payment methods do you accept tomorrow.,"We accept cash, card, and online wallets."
What payment methods do you accept tomorrow right now?,"We accept cash, card, and online wallets."
Do you offer discounts?,We run seasonal discounts; check our website for current offers.
Do you offer discounts please?,We run seasonal discounts; check our website for current offers.
Do you offer discounts — thanks.,We run seasonal discounts; check our website for current offers.
Do you offer discounts.,We run seasonal discounts; check our website for current offers.
Do you offer discounts right now?,We run seasonal discounts; check our website for current offers.
Do you offer discounts today?,We run seasonal discounts; check our website for current offers.
Do you offer discounts today please?,We run seasonal discounts; check our website for current offers.
Do you offer discounts today — thanks.,We run seasonal discounts; check our website for current offers.
Do you offer discounts today.,We run seasonal discounts; check our website for current offers.
Do you offer discounts today right now?,We run seasonal discounts; check our website for current offers.
Do you offer discounts tonight?,We run seasonal discounts; check our website for current offers.
Do you offer discounts tonight please?,We run seasonal discounts; check our website for current offers.
Do you offer discounts tonight — thanks.,We run seasonal discounts; check our website for current offers.
Do you offer discounts tonight.,We run seasonal discounts; check our website for current offers.
Do you offer discounts tonight right now?,We run seasonal discounts; check our website for current offers.
Do you offer discounts this weekend?,We run seasonal discounts; check our website for current offers.
Do you offer discounts this weekend please?,We run seasonal discounts; check our website for current offers.
Do you offer discounts this weekend — thanks.,We run seasonal discounts; check our website for current offers.
Do you offer discounts this weekend.,We run seasonal discounts; check our website for current offers.
Do you offer discounts this weekend right now?,We run seasonal discounts; check our website for current offers.
Do you offer discounts tomorrow?,We run seasonal discounts; check our website for current offers.
Do you offer discounts tomorrow please?,We run seasonal discounts; check our website for current offers.
Do you offer discounts tomorrow — thanks.,We run seasonal discounts; check our website for current offers.
Do you offer discounts tomorrow.,We run seasonal discounts; check our website for current offers.
Do you offer discounts tomorrow right now?,We run seasonal discounts; check our website for current offers.
What's on the menu today?,Today's specials are updated on the menu board and website.
What's on the menu today please?,Today's specials are updated on the menu board and website.
